0101011 (0, 0) (0, 0) (0, 0) True
0101012 (0, 0) (0, 0) (0, 0) True
0101021 (0, 0) (0, 0) (0, 1) False
0101022 (0, 0) (0, 0) (0, 1) False
0101031 (0, 0) (0, 0) (0, 2) False
0101032 (0, 0) (0, 0) (0, 2) False
0101041 (0, 0) (0, 0) (0, 3) False
0101042 (0, 0) (0, 0) (0, 3) False
0101051 (0, 0) (0, 0) (1, 0) False
0101052 (0, 0) (0, 0) (1, 0) False
0101061 (0, 0) (0, 0) (1, 1) False
0101062 (0, 0) (0, 0) (1, 1) False
0101071 (0, 0) (0, 0) (1, 2) False
0101072 (0, 0) (0, 0) (1, 2) False
0101081 (0, 0) (0, 0) (1, 3) False
0101082 (0, 0) (0, 0) (1, 3) False
0101091 (0, 0) (0, 0) (2, 0) False
0101092 (0, 0) (0, 0) (2, 0) False
0101101 (0, 0) (0, 0) (2, 1) False
0101102 (0, 0) (0, 0) (2, 1) False
0101111 (0, 0) (0, 0) (2, 2) False
0101112 (0, 0) (0, 0) (2, 2) False
0101121 (0, 0) (0, 0) (2, 3) False
0101122 (0, 0) (0, 0) (2, 3) False
0101131 (0, 0) (0, 0) (3, 0) False
0101132 (0, 0) (0, 0) (3, 0) False
0101141 (0, 0) (0, 0) (3, 1) False
0101142 (0, 0) (0, 0) (3, 1) False
0101151 (0, 0) (0, 0) (3, 2) False
0101152 (0, 0) (0, 0) (3, 2) False
0101161 (0, 0) (0, 0) (3, 3) False
0101162 (0, 0) (0, 0) (3, 3) False
0102011 (0, 0) (0, 1) (0, 0) True
0102012 (0, 0) (0, 1) (0, 0) True
0102021 (0, 0) (0, 1) (0, 1) True
0102022 (0, 0) (0, 1) (0, 1) True
0102031 (0, 0) (0, 1) (0, 2) False
0102032 (0, 0) (0, 1) (0, 2) False
0102041 (0, 0) (0, 1) (0, 3) False
0102042 (0, 0) (0, 1) (0, 3) False
0102051 (0, 0) (0, 1) (1, 0) False
0102052 (0, 0) (0, 1) (1, 0) False
0102061 (0, 0) (0, 1) (1, 1) False
0102062 (0, 0) (0, 1) (1, 1) False
0102071 (0, 0) (0, 1) (1, 2) False
0102072 (0, 0) (0, 1) (1, 2) False
0102081 (0, 0) (0, 1) (1, 3) False
0102082 (0, 0) (0, 1) (1, 3) False
0102091 (0, 0) (0, 1) (2, 0) False
0102092 (0, 0) (0, 1) (2, 0) False
0102101 (0, 0) (0, 1) (2, 1) False
0102102 (0, 0) (0, 1) (2, 1) False
0102111 (0, 0) (0, 1) (2, 2) False
0102112 (0, 0) (0, 1) (2, 2) False
0102121 (0, 0) (0, 1) (2, 3) False
0102122 (0, 0) (0, 1) (2, 3) False
0102131 (0, 0) (0, 1) (3, 0) False
0102132 (0, 0) (0, 1) (3, 0) False
0102141 (0, 0) (0, 1) (3, 1) False
0102142 (0, 0) (0, 1) (3, 1) False
0102151 (0, 0) (0, 1) (3, 2) False
0102152 (0, 0) (0, 1) (3, 2) False
0102161 (0, 0) (0, 1) (3, 3) False
0102162 (0, 0) (0, 1) (3, 3) False
0103011 (0, 0) (0, 2) (0, 0) True
0103012 (0, 0) (0, 2) (0, 0) True
0103021 (0, 0) (0, 2) (0, 1) True
0103022 (0, 0) (0, 2) (0, 1) True
0103031 (0, 0) (0, 2) (0, 2) True
0103032 (0, 0) (0, 2) (0, 2) True
0103041 (0, 0) (0, 2) (0, 3) False
0103042 (0, 0) (0, 2) (0, 3) False
0103051 (0, 0) (0, 2) (1, 0) False
0103052 (0, 0) (0, 2) (1, 0) False
0103061 (0, 0) (0, 2) (1, 1) False
0103062 (0, 0) (0, 2) (1, 1) False
0103071 (0, 0) (0, 2) (1, 2) False
0103072 (0, 0) (0, 2) (1, 2) False
0103081 (0, 0) (0, 2) (1, 3) False
0103082 (0, 0) (0, 2) (1, 3) False
0103091 (0, 0) (0, 2) (2, 0) False
0103092 (0, 0) (0, 2) (2, 0) False
0103101 (0, 0) (0, 2) (2, 1) False
0103102 (0, 0) (0, 2) (2, 1) False
0103111 (0, 0) (0, 2) (2, 2) False
0103112 (0, 0) (0, 2) (2, 2) False
0103121 (0, 0) (0, 2) (2, 3) False
0103122 (0, 0) (0, 2) (2, 3) False
0103131 (0, 0) (0, 2) (3, 0) False
0103132 (0, 0) (0, 2) (3, 0) False
0103141 (0, 0) (0, 2) (3, 1) False
0103142 (0, 0) (0, 2) (3, 1) False
0103151 (0, 0) (0, 2) (3, 2) False
0103152 (0, 0) (0, 2) (3, 2) False
0103161 (0, 0) (0, 2) (3, 3) False
0103162 (0, 0) (0, 2) (3, 3) False
0104011 (0, 0) (0, 3) (0, 0) True
0104012 (0, 0) (0, 3) (0, 0) True
0104021 (0, 0) (0, 3) (0, 1) True
0104022 (0, 0) (0, 3) (0, 1) True
0104031 (0, 0) (0, 3) (0, 2) True
0104032 (0, 0) (0, 3) (0, 2) True
0104041 (0, 0) (0, 3) (0, 3) True
0104042 (0, 0) (0, 3) (0, 3) True
0104051 (0, 0) (0, 3) (1, 0) False
0104052 (0, 0) (0, 3) (1, 0) False
0104061 (0, 0) (0, 3) (1, 1) False
0104062 (0, 0) (0, 3) (1, 1) False
0104071 (0, 0) (0, 3) (1, 2) False
0104072 (0, 0) (0, 3) (1, 2) False
0104081 (0, 0) (0, 3) (1, 3) False
0104082 (0, 0) (0, 3) (1, 3) False
0104091 (0, 0) (0, 3) (2, 0) False
0104092 (0, 0) (0, 3) (2, 0) False
0104101 (0, 0) (0, 3) (2, 1) False
0104102 (0, 0) (0, 3) (2, 1) False
0104111 (0, 0) (0, 3) (2, 2) False
0104112 (0, 0) (0, 3) (2, 2) False
0104121 (0, 0) (0, 3) (2, 3) False
0104122 (0, 0) (0, 3) (2, 3) False
0104131 (0, 0) (0, 3) (3, 0) False
0104132 (0, 0) (0, 3) (3, 0) False
0104141 (0, 0) (0, 3) (3, 1) False
0104142 (0, 0) (0, 3) (3, 1) False
0104151 (0, 0) (0, 3) (3, 2) False
0104152 (0, 0) (0, 3) (3, 2) False
0104161 (0, 0) (0, 3) (3, 3) False
0104162 (0, 0) (0, 3) (3, 3) False
0105011 (0, 0) (1, 0) (0, 0) True
0105012 (0, 0) (1, 0) (0, 0) True
0105021 (0, 0) (1, 0) (0, 1) False
0105022 (0, 0) (1, 0) (0, 1) False
0105031 (0, 0) (1, 0) (0, 2) False
0105032 (0, 0) (1, 0) (0, 2) False
0105041 (0, 0) (1, 0) (0, 3) False
0105042 (0, 0) (1, 0) (0, 3) False
0105051 (0, 0) (1, 0) (1, 0) False
0105052 (0, 0) (1, 0) (1, 0) False
0105061 (0, 0) (1, 0) (1, 1) False
0105062 (0, 0) (1, 0) (1, 1) False
0105071 (0, 0) (1, 0) (1, 2) False
0105072 (0, 0) (1, 0) (1, 2) False
0105081 (0, 0) (1, 0) (1, 3) False
0105082 (0, 0) (1, 0) (1, 3) False
0105091 (0, 0) (1, 0) (2, 0) True
0105092 (0, 0) (1, 0) (2, 0) True
0105101 (0, 0) (1, 0) (2, 1) False
0105102 (0, 0) (1, 0) (2, 1) False
0105111 (0, 0) (1, 0) (2, 2) False
0105112 (0, 0) (1, 0) (2, 2) False
0105121 (0, 0) (1, 0) (2, 3) False
0105122 (0, 0) (1, 0) (2, 3) False
0105131 (0, 0) (1, 0) (3, 0) True
0105132 (0, 0) (1, 0) (3, 0) True
0105141 (0, 0) (1, 0) (3, 1) False
0105142 (0, 0) (1, 0) (3, 1) False
0105151 (0, 0) (1, 0) (3, 2) False
0105152 (0, 0) (1, 0) (3, 2) False
0105161 (0, 0) (1, 0) (3, 3) False
0105162 (0, 0) (1, 0) (3, 3) False
0106011 (0, 0) (1, 1) (0, 0) True
0106012 (0, 0) (1, 1) (0, 0) True
0106021 (0, 0) (1, 1) (0, 1) False
0106022 (0, 0) (1, 1) (0, 1) False
0106031 (0, 0) (1, 1) (0, 2) False
0106032 (0, 0) (1, 1) (0, 2) False
0106041 (0, 0) (1, 1) (0, 3) False
0106042 (0, 0) (1, 1) (0, 3) False
0106051 (0, 0) (1, 1) (1, 0) False
0106052 (0, 0) (1, 1) (1, 0) False
0106061 (0, 0) (1, 1) (1, 1) False
0106062 (0, 0) (1, 1) (1, 1) False
0106071 (0, 0) (1, 1) (1, 2) False
0106072 (0, 0) (1, 1) (1, 2) False
0106081 (0, 0) (1, 1) (1, 3) False
0106082 (0, 0) (1, 1) (1, 3) False
